character_id,character_name_en,character_name_jp,display_name,nickname,nationality,height,weight,martial_arts,character_description
110,Jin Kazama,風間仁,Jin,運命の稲妻,日本,183cm,87kg,空手,自らに流れるデビルの血を憎悪し、消滅させたいと考えていた風間仁。仁は、ラース・アレクサンダーソンらと共に、デビルの力を持つ三島一八を倒すための作戦『オペレーション・ライトニング』の実行に向け準備を進めていた。かつて仁は、世界に対し戦争を仕掛け世界を混沌で満たすことで、デビルの始祖である原初の悪魔アザゼルを復活させ、対消滅することでデビルの力をこの世から消し去る計画を実行。結果的にアザゼルは倒したものの、仁もまた意識を失い長い眠りにつき、その間に世界は一八率いるG社によって武力で掌握されてしまう。数カ月後、ようやく意識を取り戻した仁は、アザゼルとの死闘を経たことでデビルの力を制御できるようになっていた。自らが戦争を起こした罪を償うため、仁は一八による支配を終わらせることを誓う。
120,Jun Kazama,風間準,Jun,希望の輝き,日本,170cm,57kg,風間流古武術,風間仁の母親であり、風間流古武術の使い手である風間準。幼少期から不思議な力を持ち動物とも心を通わせることができた準は、自然保護団体の密輸動物監視官として、動物密輸の容疑のかかっている三島一八を追っていた。そして The King of Iron Fist Tournament 2 で出会った二人は互いに惹かれ合い、準は仁を身籠るのであった。その後、生まれ故郷である屋久島の人里離れた山奥で仁を育て上げるが、今から7年前、仁が15歳になったある日、オーガと呼ばれる謎の存在に襲撃され、消息不明となってしまう……
130,Kazuya Mishima,三島一八,Kazuya,冷血なる支配者,無し(日本国籍は捨てた),181cm,85kg,三島流喧嘩空手,デビルの力を自在に操り、G社の代表として世界を掌握しようとする三島一八。父である三島平八との闘いに決着をつけた一八は、頭首不在となった三島財閥に対し攻勢を強めていく。やがて世界を二分した戦争はG社の勝利によって幕を閉じるが、その後もG社は侵攻を継続し、武力による世界掌握を押し進めていくのであった。この状況を良しとしない国際協力連合は、世界各国の首脳をニューヨークに集め、G社に対し制裁措置を行うための決議を採択しようとする。だがその会場に突如として現れた一八は、戦闘の継続を宣言すると共にG社軍を突入させ、ニューヨークの街を炎に包むのであった。
140,King,キング,King,Anger of the Beast,メキシコ,200cm,147kg,プロレスリング,プロレスラーとして活躍するかたわら、児童養護施設を経営するキング。しかし、世界中で繰り広げられたG社と三島財閥の戦争により、キングに助けを求める子供たちの数はかつてない勢いで増え続けていた。プロレスの世界では絶対王者として知名度があるキングであったが、より多くの子供たちを救うためには、プロレスの枠にとらわれない新たな興行によって、より多くの資金を集める必要があった。そのためには協力者が必要だと考えたキングは、自分の考えに賛同してくれる者との邂逅に備え、己の肉体とプロレスの技に磨きをかけるのであった。
150,Kuma,クマ,Kuma,マスターオブサーモン,無し,280cm,360kg,平八流熊真拳・改,三島平八のペットであり、三島財閥の誇る特殊部隊・鉄拳衆の一員として、東南アジア地域の災害救助活動などで精力的に働いている、クマ。最初は襲われるのではないかと現地の人々から怖がられたクマであったが、お茶目な言動と真面目な働きぶりから徐々に受け入れられ、人気者となっていた。しかしある日、主人である平八が三島一八との闘いに向かったまま消息不明となってしまう。平八の生存を信じるクマであったが平八は姿を現さず、その間に勢いづいたG社の攻勢により、三島財閥は劣勢となっていく。援護のため三島財閥ビルに急行するクマ。だが時すでに遅く、三島財閥の重鎮たちはクマの到着を待たずに敗北を宣言していた。このまま財閥の解体を見過ごせば、主人の帰る場所がなくなってしまう……。それだけはペットとしてのプライドが許さなかった。「（爺さんが戻るまで、オレが最後の一人になっても戦い続けてやる！）」クマは平八を真似た修行で三島流の技を磨き上げ、かつて平八が着ていた胴着と帯を身に付け孤独な戦いを開始する。……それから数か月。G社の手から三島重工の精鋭エンジニアたちを救出したクマは、起死回生の切り札となる秘密兵器開発に着手するのであった。
160,Lars Alexandersson,ラース・アレキサンダーソン,Lars,反逆の獅子,スウェーデン,180cm,85kg,鉄拳衆特殊部隊格闘術,三島平八の隠し子で、G社に対抗する反乱軍のリーダーであるラース・アレクサンダーソン。かつて三島財閥が誇る特殊部隊・鉄拳衆の将校であったラースは、多くの鉄拳衆を引き連れ三島財閥を離反。その後世界が三島一八率いるG社によって支配されていく中、ラースはG社に対抗するため新たに反乱軍『ユグドラシル』を結成し、着々と戦力を整えていった。その一環として、かつて敵対関係であった風間仁と協力関係を結ぶと、一八を倒し世界を混乱から救うための作戦『オペレーション・ライトニング』を計画するのであった。
170,Marshall Law,マーシャル・ロウ,Law,伝説の龍,アメリカ,179cm,80kg,マーシャル・アーツ,マーシャルアーツの達人として名を馳せ、自ら道場も経営するマーシャル・ロウ。しかし、息子がバイク事故を起こして抱えた借金を返済するための金策に奔走しすぎたあまり、道場の運営がおろそかになってしまい、門下生が激減してしまう。状況を打破すべく、道場を任せられそうな優秀な師範を探すための旅に出るが、交渉は全て決裂し、しかもその間に道場は借金のカタとして差し押さえられてしまう。一文無しとなり世の中の金が全てだという考えに囚われたロウには、賞金付き格闘大会で一攫千金を目指すしか道は残されていなかった。そこで、親友のポール・フェニックスと賞金を山分けする約束をしたうえで、二人で山に籠り厳しい修行に励むのであった。
180,Lee Chaolan,李 超龍,Lee,銀髪の悪魔,日本,178cm,72kg,マーシャル・アーツ,かつて三島平八の養子として過酷な環境で育てられ、現在はヴァイオレット・システムズという世界的ヒューマノイドメーカーを経営している、リー・チャオラン。平八と三島一八に強い憎しみを持つリーは、二人への復讐を果たすためのコマとして利用すべく、三島財閥に反旗を翻したラース・アレクサンダーソンに接触を果たす。しかし、真に平和を求めるラースのエクセレントな想いに共感したリーは、純粋に彼の計画を後押しするため、共に反乱軍『ユグドラシル』を結成し、参謀役を務めるようになる。その一方で、三島財閥との戦いを制したG社を率いる一八はその後も侵攻を継続し、世界はさらなる武力支配の波にさらされつつあった。だが一八の性格を熟知するリーは、G社への対抗策として、彼の知識と莫大な資産をフル活用した様々な兵器を開発していた。天才科学者Dr.ボスコノビッチの協力を得て建造した大型飛行艇・ヴィドフニルや、戦闘用バイクを駆使した機動戦を展開し、反乱軍は各地でG社相手に戦果を挙げ始める。さらにリーは、銃器を通さない強固な装甲を備えた敵への切り札として、近距離格闘に適した次世代バトルスーツを投入する。その名も「ヴァイオレットスーツ」。ヒューマノイド技術の粋と、己の美学を反映した機能の数々を搭載したマーベラスな鎧を纏い、リーは戦場へ颯爽と飛び立つのだった。
190,Leo,レオ,Leo,真実の探求者,ドイツ,178cm,58kg,八極拳,世界的に有名な考古学者である父、ニクラス・クリーゼンと、遺伝子研究の権威であった母、エマの間に生まれた八極拳の使い手、レオ。1年前に起きた母の不自然な事故死の真相を追うレオは、父から教わった武術の技と、母譲りの探求力を武器に様々な情報を収集していた。そして危険を冒して入手したG社の機密データから、母がＧ社で“デビル因子”について研究していたことに加え、三島一八という人物が、用済みとなった主要研究員を“処分”するよう指示していたことまでもが判明する。折しも三島財閥から“Ｇ社を裏で支配している三島一八はデビルである”との情報が公表され、レオの中ですべての情報が繋がってゆく。一八がデビルの力を制御するための研究を行わせ、用済みになった母を殺したと考えれば、全ての説明がつく……。激情に駆られそうになるレオの脳裏に、幼い頃に行方不明になった父の言葉がよぎる。「いいか、レオ。真実ってのは、心に余裕がある時にだけ見つかるもんだ。落としたコインみたいにな」――そう、落ち着いてやれば大丈夫。より確かな真実を求め、レオは次なる調査へと踏み出すのだった。
200,Leroy Smith,リロイ・スミス,Leroy,攻防一体のグランドマスター,アメリカ,187cm,77kg,詠春拳,ギャング達の支配からニューヨークを解放し、英雄と称えられている詠春拳の達人、リロイ・スミス。半世紀前に起きたギャングの大規模抗争の裏で三島財閥が暗躍していたことを知ったリロイは、元凶である三島財閥を潰すため The King of Iron Fist Tournament に参加する。その矢先、三島財閥の頭首であった三島平八が消息不明となり、その隙を突いたG社によって三島財閥は討伐されてしまう。しかしG社はその後も侵攻を続け、世界はG社によって武力で支配されようとしていた。そのG社を率いているのが、平八の息子である三島一八であると知ったリロイは、平穏な日常を取り戻すため、愛犬のシュガーと共に再び立ち上がるのであった。
210,Lili,リリ,Lili,格闘令嬢,モナコ,180cm,59kg,我流,モナコ在住の石油王の娘であり、闘うことが大好きなお嬢様、リリ。彼女は平和を愛する父にばれぬよう、自家用ジェットで世界中を回り、強敵に挑んで技に磨きをかけていた。すべては The King of Iron Fist Tournament で自らを二度も破った永遠のライバル、風間飛鳥の打倒のため……。風間家の道場をポケットマネーで買収したリリは、道場一面をバラでコーディネイトし、飛鳥宛に挑戦状を送り付ける。飛鳥の怒る顔を想像し、リリは愛猫のソルトを撫でながら優雅に微笑むのだった。
220,Nina Williams,ニーナ・ウィリアムズ,Nina,サイレントアサシン,アイルランド,168cm,56kg,暗殺格闘術,サイレント・アサシンの名で知られる暗殺者、ニーナ・ウィリアムズ。以前は三島財閥に雇われ、特殊部隊・鉄拳衆の指揮を執っていたが、風間仁の回収作戦に失敗したのを機に三島財閥を離脱。しばらくの間フリーの暗殺者として活動していた。その後、世界が三島一八率いるG社によって支配されていく中、ニーナは一八によってスカウトされ、直属の部下としてG社軍の指揮を任されるのであった。
230,Panda,パンダ,Panda,プリティビースト,無し,277cm,320kg,平八流熊真拳・改,リン・シャオユウのペット兼ボディーガードである、パンダ。シャオユウが想いを寄せる風間仁が消息不明となってしばらく経ったある日、シャオユウは仁を探しに行くと言って家を飛び出し、そのまま帰ってこなくなってしまう。身を案じたパンダは身を粉にして彼女の行方を追い、ついに三島財閥ビルでシャオユウを発見する。話を聞くとシャオユウは仁の捜索データを入手しており、これから仁を追って世界中を巡る旅をするのだという。とんでもないシャオユウの行動力に驚きつつも、世界旅行するなら観光も食事も全力で楽しんでもらうべきだと考え、旅に同行することにしたパンダ。いつ仁と再会しても恥ずかしくないようにと、シャオユウの服をコーディネートしつつ、数少ない情報を辿って世界各地を巡るが、結局再会はかなわぬまま半年の時が過ぎてしまう。それでもなお諦めようとしないシャオユウの姿に、パンダも最後までとことん付き合うことを決意するのであった。
240,Paul Phoenix,ポール・フェニックス,Paul,灼熱の破壊者,アメリカ,187cm,95kg,柔道をベースとした総合格闘技,宇宙一を目指す超熱血格闘家、ポール・フェニックス。莫大な賞金を目当てに、今度こそ優勝をと勇んで参加した The King of Iron Fist Tournament 7 であったが、大会は主催者が消息不明となり中断されてしまう。当てにしていたファイトマネーもほとんど手に入らず、苦しい生活を強いられることとなったポールは、次なる賞金付きの格闘技大会に一縷の望みをかけるしかなかった。次こそは確実にファイトマネーを稼ぐため、親友のマーシャル・ロウと賞金を山分けする約束をしたうえで、二人で山に籠り厳しい修行に励むのであった。
250,Raven,レイヴン,Raven,シャドウ・エージェント,不明,184cm,79kg,忍術,国際協力連合軍・独立部隊に所属するエージェントである、コードネーム・レイヴン。 これまでレイヴンは忍術を用いた諜報活動を任とし、世界各地の紛争を未然に防ぐための活動に従事してきた。しかし世界は三島財閥とＧ社による戦争に翻弄されており、さらに混迷を極めてゆくだろうと彼は確信する。より過酷な任務を遂行するには自らをアップデートせねばならない。そう考えたレイヴンは、かつての忍術の師のもとでの再修業を願い出る。上層部は彼の心意気を認め申請を許可したものの、レイヴンの欠員をカバーできるのは最長でも半年だろうと告げた。限られた期間で最大限の成果を得るべく、レイヴンは元々得意とする術の強化に焦点を絞った修行に挑む。それから数か月。“影分身”の奥義を会得したレイヴンのもとに、上層部から帰還を命じる符丁が届く。新たな戦いの気配を感じながら、レイヴンは急ぎ修行の地を出立するのであった。
260,Reina,麗奈,Reina,瞬撃の紫電,日本,162cm,51kg,不明,"電光石火の技で対峙する者を圧倒する、ミステリアスな少女・麗奈。""三島工業高等専門学校の学生である""というデータ以外は、すべてが謎に包まれている。"
270,Shaheen,シャヒーン,Shaheen,熱砂の隼,サウジアラビア,185cm,80kg,軍隊式格闘術,"民間軍事会社に勤めながら、親友の不審な死について調査していたシャヒーン。彼はG社中東支部の幹部との""穏便な交渉""を通じ、黒幕が三島一八であることを聞き出すことに成功する。――シャヒーンが家族を失った13年前のあの日、スークで同じ年頃の少年・サリームを暗殺者から助けたのは運命だったのかもしれない。それは父から叩きこまれた""人を殺すための技""が、初めて人を救った瞬間であった。「君はその技で、人々を守れる盾になるべきだ」そう言ってサリームはシャヒーンの手を取り、護衛という名目で家へと招き入れた。サリームの家は地域で随一の名家であり、嫡男を救ったシャヒーンに対する援助を惜しまなかった。才知に富むサリームと、武芸に秀でたシャヒーン。二人は互いに尊敬しながら育ち、それぞれの道を歩むことになる。サリームは石油関連企業のトップとして、シャヒーンは軍事のスペシャリストとして。道は違っても、人々の富と誇りを守るという志を、共に歩んでゆける……はずだった。――故郷に戻り、G社幹部から聞き届けた""懺悔""について、サリームの親族に報告を終えたシャヒーン。その翌日、帰路につこうとするシャヒーンのもとにサリームの弟・ザリーフが現れる。「兄さんの志を継いで欲しい」そう言ってザリーフはシャヒーンに一振りの剣を託す。それはサリームが常に携えていた宝剣であった。シャヒーンは形見の剣を抜き放ち、磨かれた刃を見つめながら誓う。決してこれ以上、G社の横暴を許しはしないと。"
280,Steve Fox,スティーブ・フォックス,Steve,音速の天才ボクサー,イギリス,184cm,72kg,ボクシング,天才的な試合展開とボクシングテクニックで観客を魅了する、ミドル級世界チャンピオン、スティーブ・フォックス。自分が三島財閥の施設で育てられた被験体だと知って以降も”本当の親”を探し続けていたスティーブは、ニーナ・ウィリアムズとの邂逅により、自分が彼女の遺伝子を元に作られたことを知る。遺伝子上は、母と息子と呼ぶべき間柄の二人。だが、ニーナは彼を息子として受け入れることはなかった。過去を知ることはスティーブの全てだったが、彼女には取るに足らない面倒事の一つに過ぎなかったのである。ゴングが鳴り、過去との闘いは終わりを迎えた……目標を失い、抜け殻のようになったスティーブ。そんな彼を救ったのは、トレーニング仲間のポール・フェニックスと、マーシャル・ロウであった。「シケた面してる暇があったら、一緒に大会に出ようぜ！　もちろん、誰が勝っても賞金は山分けだ！」無茶な言い分に苦笑しながらも、己には未来を切り開く拳があることを思い出したスティーブ。彼は二人に感謝しつつ、時代錯誤な山籠もりへの誘いを丁重に断ると、新たなファイトスタイルの模索を開始する。第2ラウンドへのゴングは、鳴らされたばかりだった。
290,Victor Chevalier,ヴィクター・シュヴァリエ,Victor,スーパースパイ・ジェントルマン,フランス,188cm,82kg,スーパースパイ式CQB,"国際協力連合軍の創設者であり、生ける伝説の軍人、ヴィクター・シュヴァリエ。高名な騎士の血を引き、若き日から多くの弱者を救うことを志していたヴィクターは、フランス海軍の高官を務める父の影響もあり、自らも海軍へ入隊する。親の七光りと妬まれた彼は、幾度も死地へ送られながらも、父の知己である東洋の傭兵との訓練で習得した戦闘術を駆使し、あらゆる任務を遂行・生還した。その一方で、極度の倹約家ぶりや、十指に余る程のパートナーと事実婚を結ぶ派手な女性遍歴を持つといった癖の強い性格を備え、各国で様々な逸話を残してゆくヴィクター。いつしか彼のコードネーム""ファントムレイヴン""は、軍人たちの間で畏怖の対象として語られる存在になっていた。その後、より多くの人を救う事ができる道を求めたヴィクターは国連に移籍し、国家の枠に縛られずに活動する道を模索し始める。近い将来、巨大企業が軍事力で世界を支配する時代の到来を予感していたヴィクターは、企業の私設軍隊への対抗手段の確保に着手。来るべき動乱の時代に備えるため、あらゆる交渉手段を用い、独自判断で武力行使可能な権限を持つ軍隊の創設を成し遂げる。自らが訓練を施した""レイヴン部隊""に世界各地での諜報活動を命じたヴィクターは、国連軍の司令塔としての役割に就くのだった。それから時は流れ、G社の武力侵攻の炎が世界を包みつつある状況を危険視したヴィクターは、自ら陣頭指揮を執って戦いに臨むことを決意する。「世界のパワーバランスをコントロールするのは、我々でなければならない」老舗の一流職人が仕立てたスーツと最新の光学兵器で全身を武装し、伝説の男が戦場へと舞い戻る。"
300,Ling Xiaoyu,凌 暁雨,Xiaoyu,鳳凰演武,中国,159cm,49kg,八卦掌、劈掛拳をベースとした各種中国拳法,風間仁に想いを寄せる中国拳法の使い手、リン・シャオユウ。消息不明となった仁の手がかりを求めて三島財閥ビルへと潜入した彼女は、仁の捜索データを入手する。数少ない情報を辿って世界各地を巡ったが、再会はかなわぬまま半年の時が過ぎてしまう。全ての手がかりを失ったシャオユウ。それでも、仁に会って確かめたいことがある……！時を重ねて強さを増した揺るがぬ決意が、なおもシャオユウを突き動かしていた。
310,Yoshimitsu,吉光,Yoshimitsu,からくり宇宙忍者,無し(元日本),178cm,67kg,卍忍術進化型,卍忍術の継承者であり、戦国の時代から続く義賊集団『卍党』の当代党首・吉光。半年前、吉光は難民救済計画の出資者となってくれた“ある人物”の依頼を受け、三島財閥の過去にまつわる古文書を探していた。党員が集めた数々の情報を分析した吉光は、かつて三島家が妖魔退治したという伝説が残る、古い地下洞窟に潜入する。身に纏った強化甲冑の機能で周囲をスキャンしながら崩れた道を進み、洞窟奥の祭壇で目的の古文書を発見する吉光。次の刹那、周囲に漂う微かな妖気に吉光の持つ妖刀が共鳴し、爆発的な邪気が吹き上がる。卍党党首が代々受け継いできた“妖刀吉光”は、血を求め使い手を狂わせる呪物。暴走した刀は瞬く間に吉光の精神を侵食し、破壊衝動を増幅させてゆく。吉光は咄嗟に妖刀を己の体を刺して血を吸わせ暴走を抑え込むが、刀はかつてないほど不安定な状態が続いていた。その後、党の長老から学んだ封魔術により、辛うじて邪気を抑え込んできた吉光。彼は妖刀の暴走以来、刀を通じて邪悪な呼び声を聞くようになっていた。――もし声の主が妖刀暴走の元凶ならば、根を断たねばなるまい。盟友・Dr.ボスコノビッチが開発した最新の強化甲冑に換装した吉光は、刀に導かれるようにして卍の隠れ里を発つのだった。
